period,val_auc,val_recall,val_accuracy,unseen_auc,unseen_recall,unseen_accuracy,number of files
3.0,0.939549438145883,0.8631523431613843,0.8559957546694762,0.8072789225997279,0.61043823787873,0.8037760413394089,397877.0
4.0,0.9328807791081488,0.8641859562912194,0.8441317352368778,0.7934733679833768,0.6849148726251613,0.7735106694338016,300672.0
5.0,0.9157106846165484,0.9102163311241716,0.787293151346781,0.5887016481364609,0.693510201239468,0.468402538776303,236807.0
6.0,0.9072250765439868,0.9158688469033296,0.7585689299047635,0.6427293622562272,0.6031396936144395,0.5314198691953269,231796.0
7.0,0.9113874372364604,0.8665034134758088,0.8027391989351026,0.730948120328732,0.6571070950174576,0.6960965735930439,218859.0
8.0,0.9197956809273328,0.8703567035670356,0.8200167572411065,0.7625207865727566,0.7021290448596914,0.6561786143006924,197431.0
9.0,0.915287133332408,0.8327437945965726,0.8436632062312526,0.7696048337128472,0.6829749186115823,0.6986080362368629,196485.0
10.0,0.8988165831741619,0.7735218432961637,0.8330548193793491,0.7914970810498082,0.6503711802957933,0.755956357158762,197604.0
11.0,0.8918911072986441,0.7546605811262536,0.8342304571274006,0.611438237907442,0.3112796915806491,0.7082448203222911,225014.0
12.0,0.891992635860847,0.7522978938988203,0.8481676745748695,0.671391438820044,0.424631802466447,0.8334962301033231,272156.0
13.0,0.8964047947865466,0.7361941882452823,0.8500236047301576,0.7378774632626379,0.4253929012890694,0.8305257259180476,262323.0
14.0,0.9031886404309744,0.77924739195231,0.8384244288317516,0.7908415943600894,0.5617219917012448,0.882757767320661,274773.0
15.0,0.921240976083308,0.8345205479452055,0.8372670070633128,0.8436989954696952,0.5952035342379299,0.8794367722718657,184650.0
16.0,0.9274255621930791,0.8390513469951646,0.8471156137599273,0.8317432130364626,0.780693448757834,0.711696961287637,144140.0
17.0,0.9390755836271368,0.8942482200195448,0.8263978633583182,0.657711206736379,0.678594249201278,0.6430552690094675,130869.0
18.0,0.920918028440432,0.8531905675558581,0.8292564069094548,0.7089004266361181,0.8695685493141236,0.5458816537633717,124516.0
19.0,0.9013310744544334,0.8267186581913359,0.7857271580464948,0.7308125583565634,0.5839725008336968,0.6615387685063251,150354.0
20.0,0.8946188220232338,0.802547770700637,0.7992014590624538,0.6322790816661391,0.5545160823648551,0.6638711187392728,179452.0
21.0,0.9037013919002534,0.8307620601258447,0.8216779214833467,0.8173769386918169,0.3985032074126871,0.8334588599432551,193850.0
22.0,0.9155796588067282,0.8267942583732057,0.8463953435079518,0.8353193736493785,0.3849244524927848,0.8095458577430329,205178.0
23.0,0.9248976627931152,0.8654623246969336,0.8324989627990595,0.7587676079547169,0.5669272164998661,0.745607528763937,168527.0
24.0,0.9229403461044596,0.8576023279856032,0.8426305069455702,0.750558355379294,0.6735412198207117,0.7111514886939491,169511.0
25.0,0.9326361011920088,0.8781715155615697,0.8592235869341109,0.4906087501206788,0.1791497245145923,0.6498136018757392,144583.0
26.0,0.9303932800679904,0.8572392175534659,0.8649714891924148,0.5279795334976676,0.4766299876593994,0.5042077819213887,151505.0
27.0,0.9289961922806008,0.8539394185150643,0.8570446735395189,0.5209315445974531,0.4984089395397025,0.5410585206754566,165873.0
28.0,0.9218436918127038,0.8753302817163485,0.8233888354936748,0.5985504653922529,0.2855043993594929,0.6779930557396168,226374.0
29.0,0.9204646761462698,0.841897233201581,0.8460916005826186,0.7978421964316289,0.7910765924359837,0.7684609622234793,327055.0
30.0,0.938546959674268,0.8141219787398302,0.8604929209346813,0.5416116053879831,0.28328857421875,0.6916484549406651,425550.0
31.0,0.936072726620758,0.8385118306351184,0.8618766471225152,0.7427604156402283,0.7495221825685435,0.7355676484984596,520965.0
32.0,0.945376314994503,0.879361898648966,0.8662721856322219,0.854972400007687,0.2543338830859447,0.8581340317036217,491048.0
33.0,0.9545128977120894,0.8955483303682801,0.87447932752907,0.644158219351106,0.5206713057715923,0.7725344128702688,380163.0
6.0,0.9392192052008226,0.8468189079973687,0.8597523120498319,0.8064382881329856,0.5428500711589629,0.789183591914084,397877.0
7.0,0.9163189170069154,0.8312666941735977,0.8226244064309897,0.7977990665134955,0.5931722947991126,0.7853732766446574,306234.0
8.0,0.92651837293316,0.8684124027610387,0.817936676885714,0.8439532853663786,0.7404616787445409,0.7633467699020859,300672.0
9.0,0.889734511635203,0.8966397749981496,0.7359221956875368,0.7416443715420564,0.8732743255898257,0.5748701837064188,229170.0
10.0,0.9066528458314936,0.9127266942411708,0.7477790763833402,0.5452595174044708,0.59824,0.4610167773756688,236807.0
11.0,0.9006767672174677,0.9210301515487076,0.7337781590709125,0.7836579334536679,0.8578365909918659,0.6134700653539832,237935.0
12.0,0.8921614151957258,0.8893313149927603,0.7361683997621578,0.757702903372695,0.6549812941665512,0.7265181452656646,231796.0
13.0,0.8942175750179008,0.8686754195396871,0.7558848086626873,0.6266687114558962,0.6030522535908865,0.6471599197665937,219360.0
14.0,0.9038332002187236,0.8550866405813303,0.7895091156387817,0.806343864897147,0.7331782945736434,0.7464760416523881,218859.0
15.0,0.8949617597924393,0.8391453499365226,0.7878637017369178,0.7056653310436137,0.566698063224819,0.6914368663468254,219067.0
16.0,0.9122350584741804,0.8364305279553145,0.8125359283895869,0.745449989204973,0.7098658138079678,0.6650829910196474,197431.0
17.0,0.9022112723939368,0.8288460570680892,0.8008136219768538,0.7926534004746403,0.7644911137262002,0.7080021025365911,184539.0
18.0,0.8979163341231768,0.7891548429706894,0.821080490806041,0.768321454096393,0.6614077669902912,0.6999770974883579,196485.0
19.0,0.9010825663770836,0.7966954334533154,0.8264753864878163,0.7953165453874999,0.7350990910445537,0.7482046494449802,194948.0
20.0,0.8984891540068474,0.8008401671396331,0.8204687071752418,0.8271016530368094,0.7193661545905407,0.7975597659966397,197604.0
21.0,0.8931541709357964,0.7772784468811792,0.8308948336072655,0.8283333331932281,0.5359450577853266,0.8453059028265896,206291.0
22.0,0.8839847586985674,0.7705757228676281,0.8232837849316232,0.7213607392701943,0.5301507537688442,0.7649212937861645,225014.0
23.0,0.8926545648747699,0.7794983116256633,0.8375976442545506,0.654873202860345,0.3837422910379215,0.7898150535785915,279216.0
24.0,0.8808371387283234,0.7539813437880222,0.8386284588629997,0.6742468635163957,0.4015279538093226,0.9002042945957466,272156.0
25.0,0.8867692504839294,0.7122641509433962,0.8594186290022338,0.8264116289441727,0.5682492581602374,0.9004717561339151,276414.0
26.0,0.9009775347527736,0.7764091416840262,0.850154047241154,0.8457651440748813,0.5503865979381444,0.9148721232983764,262323.0
27.0,0.8956358870462674,0.785434639503863,0.8277762295125067,0.810546972813911,0.5596223271313524,0.8987936695039802,264687.0
28.0,0.905808818027953,0.7972774790358365,0.8417583864409183,0.8520760358540859,0.5534561486380097,0.902013662186605,274773.0
29.0,0.9110190539984812,0.8278517030713868,0.8229252834486601,0.8768110400615531,0.6499733048585158,0.8958029684292536,228471.0
30.0,0.9152735645257516,0.8060100762405814,0.8565818609294006,0.8870374802399846,0.6178219963231318,0.8894773896561061,184650.0
31.0,0.9252651306869772,0.839172335600907,0.8603116701982136,0.92588652586765,0.8927142317855795,0.8344973519087051,163514.0
32.0,0.9350069404282056,0.8442068141743928,0.8664383859781489,0.910021473436792,0.9175906267201384,0.7744484528930207,144140.0
33.0,0.9313053374103232,0.8644527098831031,0.849637686909436,0.6899482201478621,0.6136100012888259,0.7303848112315414,137470.0
34.0,0.9316244521064048,0.8906533326006923,0.8285784893470548,0.6789542211499431,0.6886073537816727,0.5913088661180265,130869.0
35.0,0.9218312938425254,0.8835339384372534,0.8056244161453258,0.6695957868076179,0.8827018121911038,0.3774150698769497,125721.0
36.0,0.9041393628309502,0.8735499907935923,0.7772562965102373,0.6623457298573999,0.7556685518601152,0.5257476950753317,124516.0
37.0,0.9042518609624002,0.8577029425116586,0.7778251144956865,0.717218296324526,0.7266369146739492,0.5676361814975677,145743.0
38.0,0.895390353951323,0.8455396587362705,0.7783934888553546,0.741869631826783,0.4701909728735977,0.7854929034146082,150354.0
